Strains,Total presses,Day 3 total presses,"Presses at High Ratio, Asym.","Rate of Pressing at Max Ratio, Asym",Time until onset of learning,Rewards earned until onset of learning,Day 1 presses at low ratio
X_129X1_SvJ,0.709159126,0.298864591,0,0,3.323832788,-5.03554432,0.592360938
AJ,16.79041257,15.44525997,10.83036909,0.024025337,14.6241555,3.220160925,8.916513501
AKR_J,12.57939949,10.12073748,5.641759883,0.006086894,19.11455879,1.932791402,6.101452159
AXB_1_PgnJ,13.04863634,11.3741394,5.727322648,0.007478423,16.24898105,2.577729075,8.327767998
AXB_15_PgnJ,2.507848388,0.619206048,0,0,20.37157748,1.971233183,2.213836431
AXB_19a_PgnJ,1.812174392,0.992786788,0,0,4.536717901,-4.5,1.454635322
AXB_23_PgnJ,3.899078522,3.104958545,0,0,17.45593659,1.841736979,3.356288678
AXB_8_PgnJ,6.171367572,5.279212174,3.481436085,0.007193863,17.45127314,1.937958907,4.734859171
BALB_cJ,20.98642057,19.15041236,13.53283713,0.057956842,15.15639996,1.922836626,8.149665504
BTBRT___tf_J,6.099358266,5.437639747,3.420829108,0.010823838,18.9710884,1.378138853,3.097138242
BUB_BnJ,17.22875461,15.21075123,10.75136727,0.022000799,10.38094107,2.774329439,10.14891982
BXA_13_PgnJ,22.75269302,20.23201297,14.13413818,0.052312706,14.02472457,0.701806658,10.9591677
BXA_14_PgnJ,8.572845175,7.927965005,4.95849235,0.016906304,19.47119853,2.197183909,3.51248965
BXA_16_PgnJ,3.879723538,2.576021638,0,0,20.09692335,1.805405994,2.466527077
BXA_25_PgnJ,2.109543578,1.042261091,0,0,20.49605889,1.603705396,1.765142353
BXA_4_PgnJ,3.170260547,2.618751113,0,0,18.31278162,0,2.23701868
BXD_1_TyJ,7.677108897,6.662775483,4.372049544,0.013414475,20.22540178,1.363778019,4.511750362
BXD_24_TyJ,13.61949804,11.08971452,7.015844474,0.007329168,15.78860204,2.344003035,8.774625056
BXD_29_TyJ,5.998278472,5.230932761,2.290798832,0.007975353,20.71913637,2.102679491,2.409113474
BXD_31_TyJ,9.871667848,8.345715258,5.091144001,0.02064033,16.97628872,1.711066434,4.02229285
BXD_32_TyJ,10.64333769,9.147908485,6.507351445,0.018801547,18.31649071,2.017562405,5.465504539
BXD_39_TyJ,2.016074896,0.546547011,0,0,14.57758024,-0.348470736,1.849182623
BXD_40_TyJ,16.21942065,13.06912095,9.268504796,0.025031141,14.46882458,1.701874125,7.859131242
BXD_42_TyJ,14.9965135,13.35879553,9.145847712,0.026629662,13.00891456,0.934468552,7.042902828
BXD_9_TyJ,19.41297426,16.63858387,11.81826626,0.02969517,12.76159147,2.271066941,10.13874925
BXH_19_TyJ,8.72201213,6.398602748,3.851670084,0.004961954,19.27590574,2.88765296,5.765326177
BXH22,3.605137683,2.711332994,0.844570835,0.00062727,11.24003092,-0.866419371,2.533387787
BXH_4_TyJ,2.850255005,1.333402908,0,0,16.82075762,1.224222991,2.65692754
BXH_6_TyJ,18.4121232,17.25678254,12.18018828,0.035777948,15.9085702,1.911428914,6.933739112
BXH_8_TyJ,10.34006411,10.20843338,6.929995131,0.023006307,19.5260707,1.567831986,2.421332043
BXH_9_TyJ,17.35324145,15.14261487,10.62867551,0.023760216,13.85991091,1.950860373,9.578243565
C3H_HeJ,9.66019144,9.801374562,5.869205605,0.026336,19.47192284,2.639627353,3.896109387
C57BL_6J,10.14515555,9.317989211,6.328720785,0.018440365,16.85551136,1.657459081,4.235051585
C57L_J,22.18118768,19.42965767,13.71041524,0.045128042,11.24210268,2.948160184,9.77014338
C58_J,16.59041624,15.25314957,10.65156837,0.038663209,11.9427329,2.711612303,9.918771332
CBA_J,10.78590717,9.749847145,5.82271979,0.020928419,16.15505377,2.057185176,4.875012712
CE_J,20.52933116,15.93479331,11.37658194,0.025416547,10.0579787,2.721047312,9.645320143
DBA_2J,11.11122559,10.58084804,6.980719307,0.028158803,16.9846511,2.671870659,3.99340235
FVB_NJ,17.06784229,16.48848496,11.31990224,0.045313846,13.48621542,2.211082873,5.824304929
I_LnJ,18.06045509,15.82158001,11.13048663,0.038868631,12.81185871,1.910493661,6.804058588
KK_HlJ,17.24195836,12.4247828,8.53242694,0.009800601,11.40465556,2.207601804,9.383054991
LG_J,14.52232093,11.62293611,6.914912531,0.007957932,11.40296043,2.141570045,9.555898826
LP_J,9.562168553,8.247275603,4.373152623,0.020510826,20.08064284,2.033597508,5.011529771
NOD_LtJ,21.41322955,19.52019098,13.77685192,0.047556222,13.6014236,2.56814801,10.45008557
NON_LtJ,22.33456514,19.50023508,13.7712813,0.048018274,13.25601376,3.156640864,9.338607053
NZB_BlNJ,17.64457302,16.15294016,11.38387353,0.032895909,15.91068991,3.226484527,8.369642425
NZW_LacJ,17.1169347,15.34051602,10.85987506,0.025796021,16.89343569,1.971233183,9.383054991
PL_J,9.285737516,6.912539199,4.607827229,0.008016856,17.84896722,2.993276132,5.898685875
RIIIS_J,15.78305233,13.58619377,9.409004949,0.016453846,13.22854121,3.235021368,9.729536869
SM_J,19.27637294,18.42603334,13.08172268,0.041281318,16.42357085,2.719378766,9.132392892
