Row Labels,Average of Active,Average of Reinfs,Average of VR5rate,Average of VR5rateD1,Average of VR5rateD2,Average of VR5rateD3,Average of All_6_firstCP_X,Average of All_6_firstCP_Y,Average of ActiveBC,Average of ReinfsBC,Average of VR5activeBC,Average of VR5activeD1BC,Average of VR5activeD2BC,Average of VR5activeD3BC,Average of All_6_firstCP_X_BC,Average of All_6_firstCP_Y_BC
129X1.SvJ,1.2,1.2,0,0,0,0,33051.778,-4.4,0.709159126,0.739645612,0,0,0,0,3.323832788,-5.03554432
A.J,2156.4,616.4,0.025076646,0.02072,0.020178601,0.034328,12136.12,30.4,16.79041257,16.27066877,12.27205774,2.808000047,5.863306573,10.83036909,14.6241555,3.220160925
AKR.J,731,310.5,0.00751,0,0.0161,0.00643,38077.94,6.5,12.57939949,12.94520332,8.217257428,0,3.586111289,5.641759883,19.11455879,1.932791402
AXB1.PgnJ,775,329.3333333,0.005978,0.00262,0.006963333,0.008361865,19529.30333,13.33333333,13.04863634,13.42743719,7.969676178,1.299805667,4.9581018,5.727322648,16.24898105,2.577729075
AXB15.PgnJ,7,7,0,0,0,0,58139.285,7,2.507848388,2.714755474,0,0,0,0,20.37157748,1.971233183
AXB19a.PgnJ,5,4,0,0,0,0,12368.045,-4,1.812174392,1.757379689,0,0,0,0,4.536717901,-4.5
AXB23.PgnJ,36.5,32.5,0,0,0,0,20035.965,9.5,3.899078522,4.374649163,0,0,0,0,17.45593659,1.841736979
AXB8.PgnJ,430.6666667,153.3333333,0.0041,0.003113333,0.0004,0.0088,35292.43667,11,6.171367572,6.17620378,3.571022578,1.348336871,1.130165337,3.481436085,17.45127314,1.937958907
BALB.cByJ,5230.5,1234.166667,0.09318365,0.078680179,0.10433918,0.096500711,15063.83,7.666666667,21.16443481,20.37453704,15.54896648,4.209118994,7.994339447,13.75802449,14.28836602,2.022224493
BALB.cJ,5305.285714,1224.142857,0.131518205,0.087917881,0.137810401,0.168820026,16474.25429,9,20.98642057,20.0682583,15.44753483,3.851171924,7.349914932,13.53283713,15.15639996,1.922836626
BPL.1J,2020.2,555.2,0.022177956,0.023578,0.020487695,0.02246,16802.352,12.2,15.01645123,14.46674346,10.54235096,3.808486399,5.773661026,8.688854547,13.41903615,2.262300003
BTBR.T.tf.J,864.5,217.75,0.009525,0.00965,0.0008675,0.018047179,55617.735,4,6.099358266,5.928702936,3.565091991,1.26130409,1.219449168,3.420829108,18.9710884,1.378138853
BUB.BnJ,2388,664,0.023735,0.021215,0.02059,0.029346601,1111.865,14.5,17.22875461,16.70041569,12.46110599,4.551884867,6.770332257,10.75136727,10.38094107,2.774329439
BXA13.PgnJ,6850.5,1361,0.09655,0.087493662,0.094237632,0.107990767,5696.17,2,22.75269302,21.18072928,16.50313029,5.306339417,8.836037264,14.13413818,14.02472457,0.701806658
BXA14.PgnJ,540.2,178.4,0.010482,0.00308,0.00446,0.0239,48386.562,9.4,8.572845175,8.296012969,5.113677633,0.851921176,1.35053997,4.95849235,19.47119853,2.197183909
