"","hub_genes","GS1.FilterGenes.","datKME.MM.greenyellow.FilterGenes.","geneInfo0.geneSymbol.FilterGenes."
"1","ILMN_1216751",0.428068979455201,-0.803121260552344,"ELMOD1"
"2","ILMN_1217444",-0.331548863846533,0.82954372159278,"PPP2R5E"
"3","ILMN_1218474",0.463430531742541,-0.859190288384114,"E130309F12RIK"
"4","ILMN_1219242",-0.243422884373685,0.802279153904331,"ACCN1"
"5","ILMN_1228475",-0.329185976875662,0.889342946686599,"ULK1"
"6","ILMN_1235133",-0.330725361128864,0.832329900686944,"SYN1"
"7","ILMN_1239411",-0.408670636609277,0.902664610842303,"6430510M02RIK"
"8","ILMN_1239565",-0.219274597247496,0.897391405647095,"PTPRT"
"9","ILMN_1243455",-0.423150444946144,0.800998251439569,"CELSR2"
"10","ILMN_1246864",0.362204503598661,-0.831495085848993,"RARB"
"11","ILMN_1250114",-0.353031390112247,0.817685125931641,"MAST1"
"12","ILMN_1253473",0.278492749907983,-0.883433829658068,"PPP1R1B"
"13","ILMN_2425415",-0.396942414965688,0.826731911160002,"UBE3B"
"14","ILMN_2488599",-0.32021616805561,0.827294416138115,"RIMS3"
"15","ILMN_2506115",-0.328568037739799,0.932430994823847,"ULK1"
"16","ILMN_2609197",0.257733349384875,-0.830742131692147,"GCNT2"
"17","ILMN_2614212",-0.336184799720168,0.822916776491103,"MAPKAPK2"
"18","ILMN_2618169",0.477572761145682,-0.87092785567852,"KCNAB1"
"19","ILMN_2647873",-0.225175839756303,0.849161894805994,"NAV1"
"20","ILMN_2664579",0.349100947250793,-0.823180315114967,"NCDN"
"21","ILMN_2665364",0.2980401846118,-0.806140703156847,"SGK3"
"22","ILMN_2680958",0.388597646602973,-0.836783932920567,"KCNIP2"
"23","ILMN_2680959",0.429543015130435,-0.84692610311035,"KCNIP2"
"24","ILMN_2684075",-0.367313320877814,0.844001534038094,"AR"
"25","ILMN_2687062",-0.282483564981987,0.840678473827064,"ABR"
"26","ILMN_2694153",-0.433924428486891,0.815606316891577,"LOC100045359"
"27","ILMN_2694998",0.354506019938532,-0.87756459089585,"CHMP2A"
"28","ILMN_2708717",-0.419071671207316,0.829146501195698,"B3GAT1"
"29","ILMN_2722583",-0.356896564526795,0.820737741090793,"TBC1D25"
"30","ILMN_2757150",-0.529245971743785,0.843464171686288,"PCTK1"
"31","ILMN_2780619",-0.269237502294026,0.832231605477142,"ZDHHC21"
"32","ILMN_2789208",-0.240667658403911,0.822718710654657,"TOLLIP"
"33","ILMN_2850253",-0.387833980266691,0.806867204873481,"PTPRU"
"34","ILMN_2855397",-0.509956708405578,0.845131797185903,"HGS"
"35","ILMN_2883016",-0.220608876411182,0.83427393635222,"NAV1"
"36","ILMN_2944610",-0.343102070218478,0.80503594280512,"ISLR2"
"37","ILMN_2993836",-0.31009837282316,0.848482978378924,"DLG3"
"38","ILMN_2998813",-0.474710485659248,0.806022099799306,"SEMA4F"
"39","ILMN_3001452",-0.430653293090078,0.867770116932292,"EXTL3"
"40","ILMN_3009685",-0.279657563620704,0.870676422078129,"PTPRS"
"41","ILMN_3015003",-0.23963641703383,0.913978166393849,"NRXN2"
"42","ILMN_3062286",0.505329974378737,-0.823782108695377,"PHACTR1"
"43","ILMN_3067259",-0.343516919868237,0.813692440016332,"PPFIA3"
"44","ILMN_3114641",-0.318085676446064,0.852178758204351,"PIK3R1"
"45","ILMN_3124037",0.324386234685466,-0.872008104662828,"KCNIP2"
"46","ILMN_3132186",-0.262607599572743,0.848565530509945,"PCYT1B"
"47","ILMN_3145484",-0.254407809943945,0.830381707708497,"PPFIA3"
