"","hub_genes","GS1.FilterGenes.","datKME.MM.turquoise.FilterGenes.","geneInfo0.geneSymbol.FilterGenes."
"1","ILMN_1212720",0.407457149777948,-0.927271554455865,"PRNPIP1"
"2","ILMN_1213014",0.509498419245171,-0.837821475509292,"UMPS"
"3","ILMN_1213167",0.414405780309708,-0.880219574771005,"EIF4G2"
"4","ILMN_1213309",-0.284228526619991,0.815114918971928,"LRFN4"
"5","ILMN_1213617",0.456663926983085,-0.903227872231516,"CTSA"
"6","ILMN_1213779",-0.403652176728678,0.828580829142952,"ATG2A"
"7","ILMN_1213958",0.388959501090044,-0.92412817685416,"SEC23A"
"8","ILMN_1214110",0.519701691189363,-0.87132149758198,"RNF8"
"9","ILMN_1214318",0.388186226047376,-0.868942438149444,"RASGRP1"
"10","ILMN_1214800",0.465027332130803,-0.820164836430542,"RNF167"
"11","ILMN_1215167",0.416124308906113,-0.913875041728301,"DDX5"
"12","ILMN_1215722",0.480122037692089,-0.912154371559965,"ZDHHC13"
"13","ILMN_1216015",0.300164024007934,-0.879674519833977,"GMPPA"
"14","ILMN_1216493",0.465725730238787,-0.914981441528585,"SUCLG1"
"15","ILMN_1216812",0.393115482918486,-0.866679174573453,"NAPA"
"16","ILMN_1216822",0.493394889682216,-0.826812662906763,"INSIG2"
"17","ILMN_1216919",-0.473023342650973,0.841884426457622,"SEC24C"
"18","ILMN_1217102",-0.457064554602291,0.830543216237372,"TPCN1"
"19","ILMN_1217296",0.438676805214985,-0.903344901102439,"COPS7A"
"20","ILMN_1217298",0.32820022174033,-0.824522464398956,"2900011O08RIK"
"21","ILMN_1217926",-0.464744555441552,0.873450505226485,"2310021P13RIK"
"22","ILMN_1218474",0.463430531742541,-0.81532793902661,"E130309F12RIK"
"23","ILMN_1218627",0.46528268687425,-0.828296890735455,"5730437N04RIK"
"24","ILMN_1219275",0.480736715701409,-0.964787273987142,"RBBP7"
"25","ILMN_1220165",0.357757839399374,-0.898236280087789,"CAPZB"
"26","ILMN_1220187",0.507775609362112,-0.844681095364143,"PPP1CC"
"27","ILMN_1220586",0.418659612548433,-0.864651641499926,"PAPD4"
"28","ILMN_1220861",-0.43955021008542,0.818866897695712,"DLGAP4"
"29","ILMN_1221311",-0.401883740422683,0.809291750264455,"TTYH3"
"30","ILMN_1221340",0.438499689591928,-0.914354959981449,"PSMB7"
"31","ILMN_1223051",0.488128757429929,-0.920609693604192,"1200003C05RIK"
"32","ILMN_1223895",0.59602444550883,-0.852561089911032,"EID2"
"33","ILMN_1224368",0.348342212923591,-0.922612418146682,"IDH3G"
"34","ILMN_1224433",0.369885253937682,-0.824351922385587,"D6WSU163E"
"35","ILMN_1224802",-0.440372491197349,0.857347328165838,"PALM"
"36","ILMN_1225522",0.29857293353359,-0.851890490167278,"TRPC4AP"
"37","ILMN_1225931",0.362818904638194,-0.825225729497681,"D11MOH35"
"38","ILMN_1226334",0.424529577337335,-0.810190803456956,"MRPS18B"
"39","ILMN_1228316",0.283318127650688,-0.822462166930166,"GDI1"
"40","ILMN_1228544",0.326529053040025,-0.824894936725267,"B4GALT3"
"41","ILMN_1228546",0.422512868894833,-0.810372160814429,"CAMK1G"
"42","ILMN_1228999",0.421910034421453,-0.882790935558364,"RUVBL1"
"43","ILMN_1229238",0.486865869932376,-0.95183408885984,"MTCH2"
"44","ILMN_1229534",0.472310265969352,-0.917643600721809,"RNF167"
"45","ILMN_1229589",0.289631420380952,-0.826356870411344,"COQ6"
"46","ILMN_1229687",0.437500427418554,-0.840862833112427,"RNF141"
"47","ILMN_1230072",0.385727092217425,-0.940903190976131,"ARMC8"
"48","ILMN_1230339",-0.5568014923184,0.814529059342175,"SLC9A8"
"49","ILMN_1231447",0.41389689932045,-0.910913091721465,"TPI1"
"50","ILMN_1231810",0.340220697994214,-0.825526602721811,"UBE2E1"
