"","Active","Reinfs","VR5rate","VR5rateD1","VR5rateD2","VR5rateD3","All_6_firstCP_X","All_6_firstCP_Y","ActiveBC","ReinfsBC","VR5rateBC","VR5rateD1BC","VR5rateD2BC","VR5rateD3BC","All_6_firstCP_X_BC","All_6_firstCP_Y_BC"
"MEblue",-0.0317622403475225,-0.00970490775773818,-0.00271045470845125,-0.0152104321331442,0.00706476670220379,-0.00228143380760959,-0.0504904726576843,0.176744992308551,0.0635156268109003,0.0658848540457575,-0.0290474912405468,-0.0103893081107569,-0.0191370249331426,-0.0414154247248088,0.00453885359307169,0.11768203245501
"MEtan",-0.0665321936364713,-0.069491577334812,-0.027309251099847,-0.0290095055580598,-0.0161621252751722,-0.0333521434844301,0.0402507757065658,0.0693905865151065,-0.0725427038712442,-0.0716174451005051,-0.0839166052084091,-0.0389363530489066,-0.0772828942773434,-0.0878695474495621,0.0295393002698104,0.025777562405428
"MEpurple",0.0800431994501457,0.0907159874848596,0.115465502109738,0.0781711172468181,0.129937109248881,0.117762089230797,-0.249044001004032,0.118573800583044,0.155817677477799,0.156154796643513,0.0849072643024923,0.0509448947295739,0.108776761627308,0.073839088329526,-0.229889442325564,-0.0672248367718541
"MEsalmon",0.317798798937763,0.362571418835778,0.342406935049007,0.354154214345818,0.331896416246995,0.308644997877967,-0.359894625581668,0.392904428653855,0.434994342492299,0.438695816249495,0.367469807124586,0.364789376898379,0.362770213298607,0.325346064645464,-0.116901959627293,0.334697904506965
"MEmagenta",-0.256338983088797,-0.238298949869519,-0.228949743172385,-0.248111645654566,-0.202476153678953,-0.215740563459683,0.137413916029809,-0.209208943361051,-0.214287786860669,-0.202521963404503,-0.262286201431996,-0.266003571095196,-0.232623114783489,-0.25205760330575,-0.06894652174722,-0.352253508739809
"MEcyan",-0.032386410878218,-0.0438063365686065,-0.0478781164983775,-0.0129990687876697,-0.0621312747282548,-0.0554785321425131,0.0531756746583528,-0.0575142423894105,-0.0782783021209133,-0.0801466492890136,-0.0537077706929757,-0.0082640814961874,-0.0810169836896048,-0.053683054823456,0.0319246499230315,-0.029114940655018
"MEpink",-0.156597914774948,-0.164377646232274,-0.105529128670921,-0.133271379962006,-0.10534475389391,-0.0751120626360776,0.105356605349429,-0.233875832952914,-0.178705275249778,-0.182713990043087,-0.136971880339494,-0.157732859914182,-0.151168695907373,-0.112941795514288,-0.0226593677151522,-0.229187702365969
"MEred",0.274390257576021,0.286911234552915,0.227890647635011,0.253492520586714,0.215643242177966,0.197488253301367,-0.146356065932273,0.0699638747593436,0.304968808804662,0.299957982651752,0.289162879959591,0.278981261064255,0.291400514883105,0.277521079370671,0.0283759950458781,0.170981657604306
"MEyellow",0.279358515279677,0.290967131783058,0.252066542746479,0.245179343009784,0.254563685986835,0.229330531496433,-0.271493045380868,0.185789969340271,0.297594470502749,0.299204535483432,0.264775186182436,0.250771295855636,0.270257139492015,0.263226913946336,-0.0614065659071106,0.152078911814127
"MEgreenyellow",-0.299778899790222,-0.33018824170851,-0.301362258500209,-0.310962057283675,-0.314655230926133,-0.252019177873021,0.395568001485824,-0.217762240908405,-0.353905083408613,-0.358498601493285,-0.314126820930587,-0.306327067979645,-0.340864140642262,-0.27925634129619,0.153099025372663,-0.142463943562246
"MEturquoise",-0.400120011430767,-0.435527832655365,-0.384024763405151,-0.409265781841785,-0.366875612560186,-0.342343378595174,0.375815857643938,-0.26275929647907,-0.485007624886791,-0.486462682602555,-0.457296776437091,-0.4286287334994,-0.450954454316038,-0.413757301896246,0.143753324461654,-0.280228793174872
"MEgreen",0.33700243762107,0.358300849811058,0.30573299121961,0.311738186603031,0.285647992869903,0.288665718153818,-0.159875861026413,0.18727607513744,0.400050764467207,0.396860225141025,0.398203379420164,0.34195927334436,0.389687042518977,0.3825692623498,-0.0815446744864107,0.216732397764851
"MEmidnightblue",-0.167206127191354,-0.17156087768998,-0.16904419518074,-0.180624324767725,-0.152220269577809,-0.158473230132416,0.195353673965635,-0.105682679241832,-0.184115460291591,-0.183531992477575,-0.169413399686025,-0.183775157400998,-0.128842345472259,-0.169747043733985,0.082881708058775,-0.0896906716325186
"MEblack",0.215515180669196,0.239140319178804,0.221555792914963,0.241380762643739,0.198303891514483,0.205726311413762,-0.142962836982904,0.137828017768465,0.272611133952471,0.271298974362981,0.281353630667046,0.254215226338409,0.264749452733532,0.251563053492907,-0.0994236891137671,0.163916529695391
"MEbrown",-0.0491113212797335,-0.050588144910141,-0.0352987333233452,-0.0269050676474074,-0.0554271939879133,-0.0196911522284506,0.153179062075071,-0.0514003210772239,-0.0451396878778666,-0.0491280219423418,-0.00862264361049496,-0.0194455300855062,-0.0358960537995337,-0.0130904366349529,0.0128042204289704,0.0252924532762203
"MEgrey",-0.0975482046769537,-0.0992668961922593,-0.0930452859315518,-0.081275478696856,-0.0908496974308381,-0.0940557936147857,0.121362936080298,0.0446991491414213,-0.162365428097321,-0.160843575657195,-0.120355676648316,-0.0701310440911993,-0.122344172000456,-0.101678709454244,0.0821798690824141,0.000558934414318449
