"","Active","Reinfs","VR5rate","VR5rateD1","VR5rateD2","VR5rateD3","All_6_firstCP_X","All_6_firstCP_Y","ActiveBC","ReinfsBC","VR5rateBC","VR5rateD1BC","VR5rateD2BC","VR5rateD3BC","All_6_firstCP_X_BC","All_6_firstCP_Y_BC"
"MEblue",0.83215320021546,0.948378323338729,0.985573763121614,0.919173148179447,0.962409658648071,0.987857015442021,0.736087157940802,0.234652866589843,0.671460413697184,0.659937359220591,0.846318377145337,0.944743351647946,0.898405684954404,0.78223865688054,0.9758445113584,0.43081039125458
"MEtan",0.65680230639706,0.642544970255405,0.855413829217878,0.846516932794801,0.914134289347703,0.82388140059423,0.788219278561834,0.643029456604644,0.627977744506778,0.632380834275965,0.57493223675897,0.794983508941617,0.605623086491243,0.55698890589438,0.84374848880657,0.863443940139503
"MEpurple",0.592766410933937,0.544233779391474,0.439601558908385,0.601472850024106,0.38401874282877,0.430494726869361,0.0913924179188366,0.427301476709291,0.295620097771478,0.294563488679177,0.570410687068789,0.733798695250539,0.466724466061523,0.62183004136428,0.120063846579698,0.653454302890495
"MEsalmon",0.0294932040374579,0.0122589671377117,0.0184768907695362,0.0145934168860905,0.0226596190090246,0.0347874999484506,0.012963972934618,0.00629690779814753,0.00224612118755306,0.00203842144458732,0.0110535810474074,0.011699917843684,0.0122079441847538,0.0256482731567416,0.433893006959249,0.021473782068194
"MEmagenta",0.0819922714387672,0.106736509017891,0.121627939391625,0.092651802590449,0.172280162367615,0.14527390827509,0.357011525813987,0.158151566248879,0.148068782230126,0.17218104851129,0.0749041971831214,0.0707253109946647,0.115600257642085,0.0874125473686459,0.645161520755166,0.0151700148297066
"MEcyan",0.828903630192552,0.770000271443182,0.749286312288502,0.930893274994338,0.678228310213711,0.711095323841934,0.72259797443133,0.70097962310307,0.600972866578834,0.592286931703819,0.719934688106748,0.95603411356107,0.58825984966913,0.720058325377468,0.831307390874718,0.84596583433021
"MEpink",0.29317837907215,0.269548815800235,0.480209970528978,0.371828965514836,0.480981675564736,0.615818058731107,0.480932051399055,0.113597414841612,0.229419704414974,0.218969267969404,0.358575284904743,0.289650031844029,0.310440823787793,0.449731042228489,0.879832898051674,0.121230417804225
"MEred",0.0619753556071296,0.0505447458432886,0.123409160181947,0.0855656636772804,0.145459907607918,0.183320098520756,0.326273586387919,0.640281155972796,0.0371235433624773,0.0405140122355332,0.0486829202633229,0.0575655328543829,0.0468881806371541,0.0589398730136695,0.84982974598015,0.25050938753297
"MEyellow",0.0572146736703322,0.0472315192674405,0.0874009459907031,0.0967004982767681,0.0842069392933254,0.120992287306904,0.0648944773380553,0.211177720571097,0.042199057989082,0.0410450847224838,0.0720852541255161,0.0890944350657583,0.0661726081578945,0.0738287253450095,0.681781375483096,0.307502436875929
"MEgreenyellow",0.0406397273630221,0.0234092925615032,0.0395392202736011,0.0333784298827269,0.0312302283124659,0.0874624285843301,0.00592159452445415,0.141449793700687,0.0146679137556939,0.0133452035573285,0.0315303717353604,0.0362458423864235,0.0190465578986686,0.057309528820405,0.304230487568342,0.339442095646429
"MEturquoise",0.00532514800861579,0.00221507538154055,0.00770149055964727,0.00428322981357678,0.0111941529854641,0.0185000707980761,0.00923350893208228,0.0743617953843415,0.000550033782491917,0.000526249161506877,0.00123110409737733,0.00264738670357032,0.00146671604374543,0.00384038925381276,0.335043640572566,0.0564118381577173
"MEgreen",0.0205378412730421,0.013399972561563,0.0366276063146494,0.0329171250053323,0.0516142656113587,0.049089149173538,0.28306345505117,0.207483616478148,0.00533381323161707,0.00574663653731062,0.00556957219939113,0.0186406838362702,0.00677769467451929,0.00795586593375475,0.585824167068367,0.143388350981795
"MEmidnightblue",0.261280063914253,0.248883913644348,0.255998479080804,0.224374888195938,0.307047702619475,0.287363302360689,0.188196165018767,0.47956777901406,0.215394923871903,0.216878047696816,0.254946296920078,0.216259083441795,0.38807203343135,0.253997959873557,0.57967311055571,0.548812093746685
"MEblack",0.145704925678586,0.105468124939975,0.134476568072198,0.102146943209635,0.181481012473423,0.165350009282946,0.337735998765528,0.355550358342675,0.0637552139063434,0.065093866201112,0.0553876194331441,0.08464708028453,0.072113963271416,0.088056233740889,0.506107627244511,0.270913101678228
"MEbrown",0.743046333951531,0.735595090260311,0.813779633552614,0.857531451998648,0.711351074820479,0.895480029964944,0.303974723583301,0.73150746551442,0.7631989864912,0.742961939930948,0.954128510751358,0.896776686950647,0.810685768417926,0.930408725518241,0.931926693278842,0.865990083020978
"MEgrey",0.514202988177483,0.506781918867664,0.533901520205992,0.587066139359076,0.543638083277303,0.52944910518989,0.41643127087165,0.765444203172669,0.275535787861541,0.280121553098745,0.420338588618817,0.639480653632299,0.412644893345043,0.496460546209083,0.582898288880069,0.997024954255355
