Probe,chromosome,chrStart,Gene,normOrder,ID,genomeOrderNew,Search_Key,Transcript,Source_Reference_ID,RefSeq_ID,gcProbeStart,Entrez_Gene_ID
ILMN_1212607,10,94638110,CRADD,7813,14634,14634,ILMN_216382,ILMN_216382,NM_009950.2,NM_009950.2,1500216703,12905
ILMN_1212612,17,44175826,RCAN2,9279,22212,22212,ILMN_220888,ILMN_220888,NM_207649.1,NM_207649.1,2271639302,53901
ILMN_1212619,8,63151073,MFAP3L,2391,11840,11840,ILMN_193660,ILMN_249677,NM_027756.3,NM_027756.3,1212281815,71306
ILMN_1212628,7,145450601,TCERG1L,23022,11262,11262,ILMN_186373,ILMN_241741,NM_183289.2,NM_183289.2,1142039790,70571
ILMN_1212632,16,28827858,1600021P15RIK,3143,20954,20954,ILMN_185891,ILMN_232533,NM_177718.3,NM_177718.3,2157822184,239796
ILMN_1212636,6,137699245,STRAP,22593,9185,9185,ILMN_215370,ILMN_215370,NM_011499.2,NM_011499.2,984721397,20901
ILMN_1212637,18,66140620,LMAN1,13926,23110,23110,ILMN_220178,ILMN_220178,NM_027400.2,NM_027400.2,2388981747,70361
ILMN_1212645,6,121287575,SLC6A13,21801,8897,8897,ILMN_222957,ILMN_222957,NM_144512.2,NM_144512.2,968309727,14412
ILMN_1212648,4,143010804,4732496O08RIK,1914,6224,6224,ILMN_221739,ILMN_221739,NM_172877.2,NM_172877.2,681740577,242736
ILMN_1212653,1,55227135,RFTN2,1791,299,299,ILMN_186841,ILMN_245215,NM_028713.1,NM_028713.1,55227135,74013
ILMN_1212672,11,64815497,ELAC2,9860,15687,15687,ILMN_221052,ILMN_221052,NM_023479.1,NM_023479.1,1600557345,68626
ILMN_1212682,15,75577469,LOC100045940,14575,19993,19993,ILMN_217574,ILMN_314557,XM_001475220.1,XM_001475220.1,2100971821,100045940
ILMN_1212683,7,141072448,FANK1,10299,11238,11238,ILMN_219854,ILMN_219854,NM_025850.2,NM_025850.2,1137661637,66930
ILMN_1212685,18,67825235,PTPN2,19607,23132,23132,ILMN_216796,ILMN_216796,NM_008977.2,NM_008977.2,2390666362,19255
ILMN_1212692,17,28912394,MAPK13,14705,21815,21815,ILMN_209546,ILMN_209546,NM_011950.1,NM_011950.1,2256375870,26415
